t=2025-12-15T16:06:43+0500 lvl=info msg="no configuration paths supplied"
t=2025-12-15T16:06:43+0500 lvl=info msg="using configuration at default config path" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-15T16:06:43+0500 lvl=info msg="open config file" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-15T16:09:17+0500 lvl=info msg="join connections" obj=join id=ab6c77764b80 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:19+0500 lvl=info msg="join connections" obj=join id=019582e0f61f l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:21+0500 lvl=info msg="join connections" obj=join id=e2510afcbaf1 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:23+0500 lvl=info msg="join connections" obj=join id=205bba3cf450 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:25+0500 lvl=info msg="join connections" obj=join id=d6874ae2a3f0 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:27+0500 lvl=info msg="join connections" obj=join id=3ffe108ad328 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:32+0500 lvl=info msg="join connections" obj=join id=8573ca3f94d2 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:32+0500 lvl=info msg="join connections" obj=join id=2949c3851c02 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:33+0500 lvl=info msg="join connections" obj=join id=2b1144fc6727 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:33+0500 lvl=info msg="join connections" obj=join id=f2afb041f088 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:34+0500 lvl=info msg="join connections" obj=join id=065584971993 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:10:09+0500 lvl=info msg="join connections" obj=join id=ea6376e5f1a3 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:09+0500 lvl=info msg="join connections" obj=join id=08eabd1db18d l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:10+0500 lvl=info msg="join connections" obj=join id=b8f0de791eb5 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:11+0500 lvl=info msg="join connections" obj=join id=a73204857b2e l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:10:11+0500 lvl=info msg="join connections" obj=join id=245d1e61a25d l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:13+0500 lvl=info msg="join connections" obj=join id=31d31aba17b4 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
